rX,rY,rZ,rSpeed,bX,bY,bSpeed,sX,sY,sZ,sSpeed,dAng,bAng,bZ,bowlerEnd
-8.3642,0.929682,1.93147,139.871,2.09052,0.555649,118.101,10.06,0.250039,1.01101,106.853,12.0951,9.1757,0.0001,south
-8.3146,0.853889,1.93158,137.218,2.32949,0.614571,116.567,10.06,0.423293,0.822573,112.749,12.1504,7.77641,0.0001,south
-8.5581,0.911778,1.97858,128.064,3.80688,0.674616,110.285,10.06,0.588866,0.750912,107.055,11.7906,8.25292,0.0001,south
-8.6682,0.900703,1.96947,138.575,4.04854,0.485866,118.151,10.06,0.257559,0.67035,106.704,11.2566,7.65093,0.0001,south
8.1765,0.261893,1.89519,145.044,1.1714,0.227878,117.891,-10.06,0.380634,1.26307,110.545,16.107,9.64316,0.0001,north
8.1969,0.32933,1.93329,148.146,-2.5985,0.144317,127.411,-10.06,0.0731519,0.857271,113.06,11.8203,8.03778,0.0001,north
8.2693,0.38214,1.97357,147.09,-1.76908,0.313514,125.697,-10.06,0.267564,1.03639,110.019,12.6623,8.88834,0.0001,north
8.3026,0.366244,1.94235,141.003,-0.4627,0.383223,115.048,-10.06,0.442366,1.38051,109.339,13.9609,10.5963,0.0001,north
8.1934,0.315288,1.96373,141.804,-1.96446,0.124695,123.403,-10.06,-0.103084,1.03785,110.136,12.6047,9.06017,0.0001,north
8.2487,0.400062,1.96938,141.445,-0.68667,0.504416,118.384,-10.06,0.511817,1.17053,111.867,13.7368,9.27046,0.0001,north
-8.6615,-0.577338,1.92712,85.8956,4.84024,0.0288312,71.51,10.06,-0.0151694,0.881754,63.888,15.7192,13.0628,0.0001,south
-8.6553,-0.62436,1.97544,86.1334,3.29023,-0.18841,67.7675,10.06,-0.429753,0.869918,59.0906,15.7748,12.7852,0.0001,south
-8.6415,-0.595708,1.9568,84.0358,7.31445,0.406995,66.9681,10.06,0.419781,0.265246,63.5033,15.8473,7.01103,0.0001,south
-8.6635,-0.643897,1.92792,83.9416,5.59957,-0.181229,68.7728,10.06,-0.276296,0.700085,62.5861,16.1715,12.0372,0.0001,south
-8.7547,-0.528201,1.96152,85.6462,5.43334,0.340728,70.2445,10.06,0.457141,0.690136,64.0097,15.6843,11.5697,0.0001,south
-8.5996,-0.608441,1.96009,85.6834,4.99298,0.231334,68.0162,10.06,0.233671,0.737966,61.0291,15.6602,12.0576,0.0001,south
8.3053,0.488245,2.00418,137.933,-3.50747,0.361985,122.796,-10.06,0.359401,0.836304,114.385,11.9544,8.50577,0.0001,north
8.3788,0.294497,1.99761,140.35,-3.60894,0.248624,118.711,-10.06,0.202335,0.798534,107.544,11.4083,8.38396,0.0001,north
8.2888,0.315903,1.94552,143.907,-1.06774,0.310886,123.718,-10.06,0.280561,1.15521,108.232,13.3283,9.34938,0.0001,north
8.2954,0.367293,1.9936,136.906,-2.00825,0.220262,120.665,-10.06,0.111032,0.983085,107.468,12.7705,8.77816,0.0001,north
8.2846,0.389634,1.97098,138.169,-1.96446,0.164444,121.753,-10.06,-0.00763042,0.997243,109.561,12.4271,8.75389,0.0001,north
8.1423,0.280197,1.98575,141.225,-2.62513,0.368471,123.463,-10.06,0.283068,1.04533,110.18,12.1058,9.57066,0.0001,north
-8.7039,-0.567891,1.94227,86.0208,5.42596,-0.0732535,69.5637,10.06,-0.146031,0.8013,62.9256,15.8637,12.9745,0.0001,south
-8.7307,-0.595242,1.92228,84.8222,5.13193,-0.0459593,70.5854,10.06,-0.0933056,0.670229,63.9191,15.5354,11.0715,0.0001,south
-8.7366,-0.688442,1.94677,82.2676,4.40008,-0.0236151,66.6613,10.06,-0.132966,0.760358,59.4105,16.0579,12.1856,0.0001,south
-8.6604,-0.586655,1.96153,84.0376,6.4924,0.34184,67.2912,10.06,0.405866,0.585833,61.9514,16.5234,11.6904,0.0001,south
-8.6241,-0.618879,1.94615,84.656,5.00363,0.0270861,68.0433,10.06,-0.0875416,0.699988,61.2684,15.6629,11.5867,0.0001,south
-8.699,-0.557653,1.94929,83.5358,5.93227,0.256753,68.8752,10.06,0.301737,0.696813,63.2872,15.8358,12.3658,0.0001,south
8.1478,0.270173,1.9786,140.985,-2.5752,0.0676386,122.999,-10.06,-0.138562,0.909069,109.657,11.9519,8.48843,0.0001,north
8.3638,0.29369,1.96436,140.047,-5.25928,0.29079,119.088,-10.06,0.32248,0.615081,109.521,10.6738,8.09045,0.0001,north
8.2924,0.255477,1.94804,144.487,-3.52264,0.132389,124.516,-10.06,0.00490051,0.816899,112.027,11.0938,8.35108,0.0001,north
8.2329,0.386458,1.98077,142.468,-3.07029,0.0752421,118.792,-10.06,-0.139732,0.955073,107.7,12.0104,9.27913,0.0001,north
8.2396,0.246612,1.93847,142.964,-6.72052,-0.0660431,124.577,-10.06,-0.188559,0.411703,117.577,9.95671,7.15606,0.0001,north
8.176,0.37223,1.95964,139.783,-3.23289,0.482755,122.495,-10.06,0.53039,0.837615,111.174,11.8107,8.35401,0.0001,north
-8.5306,-0.621053,1.92818,86.361,3.95771,-0.0657105,72.2822,10.06,-0.135746,0.795345,64.0475,15.4437,11.5901,0.0001,south
-8.6583,-0.622206,1.92106,85.6479,4.69419,0.1557,70.6715,10.06,0.129534,0.79613,63.448,15.7609,12.1504,0.0001,south
-8.5857,-0.592498,1.91367,84.3268,4.54316,0.140991,69.9755,10.06,0.146949,0.623866,62.5852,15.7791,10.4091,0.0001,south
-8.8329,-0.590748,1.97501,83.8842,6.0496,-0.13123,70.911,10.06,-0.167084,0.576374,65.4905,15.4529,10.6484,0.0001,south
-8.681,-0.565258,1.97036,84.9911,6.89331,0.21749,66.034,10.06,-0.000390048,0.790874,61.1864,15.5687,16.0798,0.0001,south
-8.6179,-0.627681,1.89964,85.6145,4.75267,0.0010885,72.5802,10.06,-0.0924384,0.794676,65.05,15.576,11.9745,0.0001,south
8.3792,0.270313,2.01769,142.586,-2.15536,0.190516,121.844,-10.06,0.0944591,1.0573,106.993,12.4436,9.37425,0.0001,north
8.2035,0.230766,1.95808,138.395,-1.40693,0.278324,119.147,-10.06,0.337366,1.18572,106.172,13.1571,9.90048,0.0001,north
8.0678,0.248275,1.93929,142.178,-2.84509,0.2564,123.081,-10.06,0.23985,0.975975,109.688,11.7644,9.19059,0.0001,north
8.2704,0.344912,1.99591,141.583,-2.82384,0.336433,119.387,-10.06,0.329898,0.97893,113.55,12.2129,9.26071,0.0001,north
8.17,0.32705,1.96904,135.436,-3.17407,0.215134,118.534,-10.06,0.132156,0.876425,106.173,11.7838,8.7759,0.0001,north
